place_name,place_city,address,category,description,reviews
Tops,Cebu,"Tops Lookout, Cebu Tops Road",Nature & Scenic Spots,TBD labyu all,4.5
Sirao Flower Farm,Cebu,"Sirao Flower Farm, Cebu City","Nature & Scenic Spots, Botanical Garden",TBD labyu all,4
Temple of Leah,Cebu,Cebu Transcentral Hi-way,Historical Landmark,TBD labyu all,4.1
Cebu Taoist Temple,Cebu,Beverly Hills Subd.,Cultural Landmark,TBD labyu all,4.3
Mountain View Nature's Park,Cebu,Cebu Transcentral Hi-way,"Nature & Scenic Spots, Resort, Restaurant",TBD labyu all,4.2
Cebu Ocean Park,Cebu,"SM Seaside Complex, F. Vestil St.",Marine Theme Park,TBD labyu all,4.4
WaterWorld Cebu,Mandaue,Marcelo Fernan Bridge,Resort and Water Park,TBD labyu all,3.8
Anjo World Theme Park,Minglanilla,Belmon One South Road Upper,Amusement Park,TBD labyu all,4.4
Fort San Pedro,Cebu,A. Pigafetta St.,Historical Landmark,TBD labyu all,4.2
Magellan's Cross,Cebu,P. Burgos St. ,Historical Landmark,TBD labyu all,4.4
Minor Basilica of the Holy Child of Cebu,Cebu,"Pilgrim's Center, Osmena Blvd.",Historical Landmark and Religious Site,TBD labyu all,4.7
Casa Gorordo Museum,Cebu,35 Eduardo Aboitiz St.,Historical Landmark and Museum,TBD labyu all,4.6
Ayala Center Cebu,Cebu,Cebu ,"Shopping Mall, Food Court ",TBD labyu all,4.5
Sugbo Mercado,Cebu,Abad St.,Food court,TBD labyu all,4.4
Museo Sugbo,Cebu,731 M.J. Cuenco Ave.,Museum,TBD labyu all,4.3
Kawasan Falls,Alegria,Alegria,"Nature & Scenic Spots, Adventure",TBD labyu all,4.5
1730 Jesuit House,Cebu,26 Zulueta  St.,Museum,TBD labyu all,4.5
Cebu Safari and Adventure Park,Carmen,"Barangay Corte, Toril",Wildlife and Safari Park,TBD labyu all,4.6
Plaza Independencia,Cebu,CSCR Tunnel,"Historical Landmark, Park",TBD labyu all,4.4
Shangri-La Mactan,Lapu-lapu,Punta Engano Rd.,"Beach, Resort and Hotel",TBD labyu all,4.6
Sky Experience Adventure,Cebu,Osmena Blvd.,Tourist attraction,TBD labyu all,4.2
Terrazas de Flores Botanical Garden,Cebu,Cebu Transcentral Hi-way,"Nature & Scenic Spots, Botanical Garden",TBD labyu all,4.3
Alta Vista & Golf Country Club,Cebu,Pardo Hills,Golf course,TBD labyu all,4.4
Papa Kit's Marina and Fishing Lagoon,Liloan,Silot Bay,Nature & Adventure,TBD labyu all,4.1
Solea Mactan Resort,Cordova,Cordva ,"Beach, Resort, Hotel and Restaurant",TBD labyu all,4.1
Jpark Island Resort and Waterpark,Lapu-lapu,"M.L. Quezon National Highway, Maribago","Resort, Hotel, Restaurant and Water Park",TBD labyu all,4.4
Bluewater Maribago Beach Resort,Lapu-lapu,"M.L. Quezon National Highway, Maribago","Beach, Resort, Hotel, and Restaurant",TBD labyu all,4.6
Bluewater Sumilon Island Resort,Oslob,Sumilon Island,"Beach, Nature & Scenic Spots, Resort, Restaurant",TBD labyu all,4.5
Oslob Whale Shark,Oslob,Tan-awan,"Beach, Nature & Scenic Spots, Adventure",TBD labyu all,4.4
Tumalog Falls,Oslob,Brgy Natalio Bacalso Avenue,"Nature & Scenic Spots, Adventure",TBD labyu all,4.6
Pescador Island,Cebu,Tanon Strait,"Nature & Scenic Spots, Adventure",TBD labyu all,4.5
Basdaku White Beach,Moalboal,Moalboal Beach Road,"Beach, Nature & Scenic Spots",TBD labyu all,4.1
Simala Shrine,Sibunga,Barangay Simala,Religious Site,TBD labyu all,4.7
Osmena Peak,Dalaguete,Mantalongon,"Nature & Scenic Spots, Mountain, Adventure",TBD labyu all,4.5
SM Seaside City Cebu,Cebu,South Coastal Road,"Shopping Mall, Food Court ",TBD labyu all,4.6
Virgin Island,Bantayan Island,Virgin Island,"Beach, Nature & Scenic Spots, Adventure",TBD labyu all,4
Paradise Beach ,Santa Fe,"Santa Fe, Cebu","Beach, Nature & Scenic Spots",TBD labyu all,4.5
Robinsons Galleria Cebu,Cebu,"General Maxicom, Tejero","Shopping Mall, Food Court ",TBD labyu all,4.5
Olango Island,Lapu-lapu,Olango Island,"Beach, Nature, Adventure",TBD labyu all,4
J Centre Mall,Mandaue,A.S. Fortuna St.,"Shopping Mall, Food Court ",TBD labyu all,4
University of San Carlos Museum,Cebu,Pelaez St. ,Museum,TBD labyu all,4.4
Tingko Beach,Alcoy,Alcoy Highway,"Beach, Nature & Scenic Spots",TBD labyu all,3.5
Buwakan ni Alejandra,Balamban,"Cebu Transcentral Hi-way, Barangay Gaas",Nature & Scenic Spots,TBD labyu all,4.6
Gaisano Grand Mall Mactan,Lapu-lapu,Mactan Highway,"Shopping Mall, Food Court ",TBD labyu all,3
Gaisano Grand Mall Basak,Mandaue,"Cebu National Highway, Barangay Basak","Shopping Mall, Food Court ",TBD labyu all,4.1
Gaisano Grand Mall Centro,Mandaue,A. Del Rosario St. ,"Shopping Mall, Food Court ",TBD labyu all,4.2
Gaisano Grand Mall Talamban,Cebu,"Kalubihan, Talamban","Shopping Mall, Food Court ",TBD labyu all,3.8
Cebu IT Park,Cebu,"Cebu IT Park, Brgy Apas","Shopping Mall, Food Court ",TBD labyu all,4.5
Parkmall,Mandaue,"Ouano Avenue, Mandaue Reclamation Area","Shopping Mall, Food Court ",TBD labyu all,4.3
SM Mabolo,Cebu,North Reclamation Area,"Shopping Mall, Food Court ",TBD labyu all,3.8
Naga Boardwalk,Naga,Cebu South Rd.,Scenic Spots ,TBD labyu all,4.5
Il Corso,Cebu,South Coastal Road,"Food Court, Scenic Spots",TBD labyu all,4.4
Durano Eco Farm & Spring Resort,Carmen,Durano Ecofarm Resort,"Nature & Scenic Spots, Resort, Hotel",TBD labyu all,4.3
NU Star,Cebu,South Coastal Road,"Shopping Mall, Food Court, Hotel, Casino",TBD labyu all,4.5
Dalaguete Beach Park,Dalaguete,"Dakumbalas, Barangay Casay","Nature & Scenic Spots, Beaches",TBD labyu all,3.5
Island Central,Lapu-lapu,"MEPZ Ecozone, Mactan","Shopping Mall, Food Court",TBD labyu all,4.1
Obong Spring,Dalaguete,Barangay Obong,Beach,TBD labyu all,4.2
Esoy Hot Spring,Catmon,Brgy Duyan,Nature & Scenic Spots,TBD labyu all,4.2
Ka-Tinggo Falls,Catmon,Brgy Duyan,Nature & Scenic Spots,TBD labyu all,4
Funtastic Island Beach Resort,Medellin,Northern Cebu,"Beach & Resort, Adventure",TBD labyu all,4.2
Lake Pingganon,Toldeo,Brgy Loay,Nature & Scenic Spots,TBD labyu all,4.6
Campalabo Sandbar,Pinamungajan,Brgy Tajao,"Beaches, Nature & Scenic Spots",TBD labyu all,4.6
Cambais Falls,Alegria,Brgy Inghoy,"Nature & Scenic Spots, Adventure",TBD labyu all,4.4
Budlaan Falls,Cebu,"Brgy Budlaan, Talamban","Nature & Scenic Spots, Adventure",TBD labyu all,4.3
Marmol Cliff,Tuburan,Marmol Cliff,"Nature & Scenic Spots, Adventure",TBD labyu all,4.4
Cebu Happy World Museum Miracle Art,Cordova,Brgy Gabi,Art Museum,TBD labyu all,3.9
Dao Waterfalls,Samboan,Brgy Suba,"Nature & Scenic Spots, Adventure",TBD labyu all,4.4
Sundaze Farm,Carcar,Brgy Valencia,"Hotel, Resort, Scenic Spots",TBD labyu all,4.4
